Category,Product Name,Price
Battery,AA Alkaline Battery 1.5V,
Battery,AAA Alkaline Battery 1.5V,
Battery,9V Alkaline Battery,
Battery,C Size Battery,
Battery,D Size Battery,
Battery,CR2032 Coin Cell,
Battery,CR2025 Coin Cell,
Battery,CR2016 Coin Cell,
Battery,LR44 / AG13 Button Cell,
Battery,Rechargeable AA NiMH Battery,
Battery,Rechargeable AAA NiMH Battery,
Battery,18650 Li-ion Battery 3.7V,
Battery,21700 Li-ion Battery,
Battery,26650 Li-ion Battery,
Battery,Li-Po Battery 3.7V 300mAh,
Battery,Li-Po Battery 3.7V 500mAh,
Battery,Li-Po Battery 3.7V 1000mAh,
Battery,Li-Po Battery 3.7V 2200mAh,
Battery,Li-Po Battery 7.4V 2S,
Battery,Li-Po Battery 11.1V 3S,
Battery Holder,Single AA Battery Holder,
Battery Holder,Dual AA Battery Holder,
Battery Holder,Quad AA Battery Holder,
Battery Holder,Single AAA Battery Holder,
Battery Holder,Dual AAA Battery Holder,
Battery Holder,9V Battery Clip with Wire,
Battery Holder,CR2032 Coin Cell Holder,
Battery Holder,18650 Single Battery Holder,
Battery Holder,18650 Dual Battery Holder,
Battery Holder,JST-PH Battery Connector,
Battery Holder,XT30 Connector Pair,
Battery Holder,XT60 Connector Pair,
Battery Holder,DC Barrel Jack Female,
Battery Holder,DC Barrel Plug Male,
Battery Holder,Battery Protection BMS Module (3S / 1S),
Battery Holder,Battery Voltage Indicator Module,
Wire,Jumper Wire Male-Male (Pack of 40),
Wire,Jumper Wire Male-Female (Pack of 40),
Wire,Jumper Wire Female-Female (Pack of 40),
Wire,Dupont Connector Kit,
Wire,Ribbon Cable 10 Pin,
Wire,Ribbon Cable 20 Pin,
Wire,Single Core Hook-up Wire,
Wire,Multi Core Hook-up Wire,
Wire,Silicone Wire Red Black,
Wire,JST 2 Pin Connector,
Wire,JST 3 Pin Connector,
Wire,Screw Terminal Block 2 Pin,
Wire,Screw Terminal Block 3 Pin,
Wire,Pin Header Male,
Wire,Pin Header Female,
Wire,IC Socket Assortment,
Wire,USB Type A Cable,
Wire,USB Type B Cable,
Wire,USB Type C Cable,
Wire,USB to TTL Converter,
Microcontroller,Arduino Uno R3,
Microcontroller,Arduino Nano (With / Without Soldering),
Microcontroller,Arduino Mega 2560,
Microcontroller,Arduino Pro Mini,
Microcontroller,Arduino Leonardo,
Microcontroller,ESP8266 NodeMCU,
Microcontroller,ESP32 Development Board,
Microcontroller,Raspberry Pi 5 (2GB RAM),
Microcontroller,Raspberry Pi 5 (4GB RAM),
Microcontroller,Raspberry Pi 5 (8GB RAM),
Microcontroller,Raspberry Pi Zero 2W,
Microcontroller,STM32 Blue Pill,
Microcontroller,Microbit V2,
Microcontroller,Teensy 4.0,
Communication,Bluetooth Module HC-05,
Communication,Bluetooth Module HC-06,
Communication,BLE Module HM-10,
Communication,WiFi Module ESP-01,
Communication,NRF24L01 Wireless Module,
Communication,LoRa SX1278 Module,
Communication,GSM GPRS Module SIM800 L/C,
Communication,GPS Module NEO-6M,
Communication,RFID Module RC522,
Communication,NFC Module PN532,
Sensor,DHT11 Temperature Humidity Sensor,
Sensor,DHT22 Temperature Humidity Sensor,
Sensor,DS18B20 Waterproof Temperature Sensor,
Sensor,BMP280 Pressure Sensor,
Sensor,BME280 Environmental Sensor,
Sensor,MQ-2 Gas Sensor,
Sensor,MQ-3 Alcohol Sensor,
Sensor,MQ-6 LPG Gas Sensor,
Sensor,MQ-7 Carbon Monoxide Sensor,
Sensor,MQ-135 Air Quality Sensor,
Sensor,Ultrasonic Sensor HC-SR04,
Sensor,IR Sensor Module,
Sensor,LDR Light Sensor,
Sensor,Flame Sensor Module,
Sensor,PIR Motion Sensor,
Sensor,Capacitive Soil Moisture Sensor,
Sensor,Soil Moisture Sensor,
Sensor,Rain Sensor Module,
Sensor,Sound Sensor Module,
Sensor,Vibration Sensor Module,
Sensor,Touch Sensor Module,
Sensor,Pulse Rate Sensor,
Sensor,Color Sensor TCS3200,
Sensor,Flex Sensor,
Sensor,Load Cell 1kg,
Sensor,HX711 Load Cell Amplifier,
Sensor,LDR Light Sensor Module,
Sensor,MPU6050 Accelerometer Gyro,
Display,16x2 LCD Display,
Display,20x4 LCD Display,
Display,OLED Display 0.96 inch,
Display,7 Segment Display 1 Digit,
Display,7 Segment Display 4 Digit,
Display,LED Matrix 8x8,
Display,TFT LCD 2.4 inch,
Display,TFT LCD 3.5 inch,
Display,E-Ink Display 1.54 inch,
Display,Nextion Display 2.4 inch,
Display,WS2812B LED Strip,
Display,RGB LED Common Anode,
Display,RGB LED Common Cathode,
Motor,DC Motor,
Motor,Servo Motor,
Motor,Stepper Motor NEMA17,
Motor,Gear Motor,
Motor,Vibration Motor,
Motor,L298N Motor Driver,
